,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,trend,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
0,180.1,180.86,179.34,179.68,179.68,731439,0.0,1.0,2019-12-18,NC,170.9693,171.6403,1.7861,0.3416,1.4445,60.2355,45.1362,56.9658,12.896,69.1097,13.3333,95.0,149.7792,170.9693,192.1595,282832365.6602,147349659.0
1,182.42,182.64,180.54,181.1,181.1,658915,0.0,1.0,2019-12-17,UP,170.581,171.3535,1.8308,0.4717,1.3591,73.5235,60.2022,58.1411,12.8302,81.4846,15.0,96.6667,149.2211,170.581,191.9409,283236586.3937,148081098.0
2,183.54,184.08,180.64,182.24,182.24,717892,0.0,1.0,2019-12-16,UP,170.189,170.9784,1.6249,0.3837,1.2412,80.6355,75.368,58.7162,12.74,89.3602,16.6667,98.3333,148.8493,170.189,191.5287,283544073.038,148740013.0
3,183.16,187.74,182.88,183.3,183.3,2233831,0.0,1.0,2019-12-13,UP,169.78,170.5526,1.2245,0.0792,1.1453,79.7582,85.0003,58.5795,12.6464,108.1819,18.3333,100.0,148.5391,169.78,191.0209,283594156.453,149457905.0
4,178.3,180.28,176.88,179.58,179.58,907633,0.0,1.0,2019-12-12,DOWN,169.3293,170.1252,0.7343,-0.3911,1.1254,73.2232,81.5383,56.7798,12.5076,68.2001,20.0,58.3333,148.0956,169.3293,190.563,285441894.9378,147224074.0
5,175.6,178.68,175.54,178.24,178.24,914204,0.0,1.0,2019-12-11,DOWN,168.9443,169.8481,0.5928,-0.6304,1.2232,66.0437,72.736,55.7291,12.4692,59.3309,21.6667,60.0,147.5382,168.9443,190.3504,284907992.2145,146316441.0
6,175.12,175.92,172.44,175.7,175.7,794660,0.0,1.0,2019-12-10,DOWN,168.6327,169.6531,0.6785,-0.7023,1.3808,59.9383,65.3952,55.5401,12.4539,41.0345,23.3333,61.6667,147.0792,168.6327,190.1861,284249990.8392,145402237.0
7,176.7,177.82,175.72,175.82,175.82,484551,0.0,1.0,2019-12-09,UP,168.3223,169.4678,0.8269,-0.7295,1.5564,51.8753,60.0,56.3182,12.4803,54.5637,25.0,63.3333,146.6158,168.3223,190.0288,283555805.7731,146196897.0
8,175.58,177.12,174.4,176.6,176.6,662523,0.0,1.0,2019-12-06,UP,167.9933,169.2226,0.8434,-0.8954,1.7388,41.6822,54.4196,55.8874,12.4421,53.2468,26.6667,65.0,146.2065,167.9933,189.7802,283994206.3765,146681448.0
9,175.24,176.66,174.32,174.94,174.94,530821,0.0,1.0,2019-12-05,DOWN,167.6443,169.0071,0.9662,-0.9965,1.9626,28.725,41.2063,55.7572,12.4138,49.8455,28.3333,66.6667,145.6846,167.6443,189.6041,283584995.5282,146018925.0
10,175.0,176.92,174.08,175.16,175.16,700597,0.0,1.0,2019-12-04,UP,167.3237,168.7958,1.1435,-1.0683,2.2118,20.1027,29.4205,55.6663,12.392,51.8476,30.0,68.3333,145.2553,167.3237,189.392,283834528.5427,146549746.0
11,175.12,176.86,172.16,174.3,174.3,1260756,0.0,1.0,2019-12-03,DOWN,166.9737,168.5855,1.3776,-1.1013,2.4788,22.4202,15.5482,55.7226,12.3698,47.1588,31.6667,70.0,144.7379,166.9737,189.2094,284002275.5297,145849149.0
12,175.68,178.42,174.36,174.78,174.78,1050595,0.0,1.0,2019-12-02,UP,166.578,168.364,1.6441,-1.11,2.7541,33.1617,15.3395,55.9822,12.3481,57.8508,33.3333,71.6667,144.0927,166.578,189.0633,284114938.4135,147109905.0
13,175.56,177.18,175.2,175.48,175.48,486374,0.0,1.0,2019-11-29,UP,166.1633,168.116,1.9034,-1.1283,3.0317,46.8762,36.3729,55.9389,12.2835,60.2563,35.0,73.3333,143.4483,166.1633,188.8784,284948169.7477,148160500.0
14,177.4,177.44,176.08,176.7,176.7,447410,0.0,1.0,2019-11-28,UP,165.729,167.8637,2.2189,-1.0949,3.3137,49.7911,47.7729,56.7803,12.2354,67.0882,36.6667,75.0,142.7541,165.729,188.7039,285296983.727,148646874.0
15,176.3,179.0,175.4,177.88,177.88,658364,0.0,1.0,2019-11-27,UP,165.2453,167.5404,2.4019,-1.1855,3.5874,47.7146,56.4828,56.3948,12.1694,73.4544,0.0,76.6667,142.0528,165.2453,188.4379,285336464.4757,149094284.0
16,177.24,177.78,175.64,175.88,175.88,707408,0.0,1.0,2019-11-26,DOWN,164.753,167.2435,2.7126,-1.1713,3.8838,38.0461,45.1177,56.8207,12.1024,69.7029,0.0,78.3333,141.2677,164.753,188.2383,285087746.7063,148435920.0
17,178.48,179.64,176.98,177.0,177.0,562809,0.0,1.0,2019-11-25,UP,164.2267,166.9046,2.9739,-1.2027,4.1766,31.7285,41.5432,57.3829,12.051,80.8239,1.6667,80.0,140.4705,164.2267,187.9829,285636480.0761,149143328.0
18,176.22,178.3,176.02,177.08,177.08,858076,0.0,1.0,2019-11-22,UP,163.6777,166.5122,3.138,-1.3393,4.4773,25.4392,27.4773,56.6136,11.9735,79.1849,0.0,81.6667,139.7426,163.6777,187.6127,286190823.9868,149706137.0
19,174.64,177.28,173.32,176.34,176.34,832869,0.0,1.0,2019-11-21,DOWN,163.1317,166.1831,3.5319,-1.2802,4.8121,33.3283,26.1651,56.0683,11.9129,73.0097,0.0,83.3333,138.8735,163.1317,187.3898,286251041.2568,148848061.0
20,176.74,176.74,174.94,175.5,175.5,704314,0.0,1.0,2019-11-20,DOWN,162.6127,165.8965,4.1442,-0.988,5.1322,40.0022,22.6753,57.0046,11.8652,76.1794,0.0,85.0,138.0313,162.6127,187.1941,285813576.5914,148015192.0
21,176.08,179.8,176.08,177.32,177.32,1107406,0.0,1.0,2019-11-19,UP,162.039,165.5289,4.6516,-0.7276,5.3792,49.8705,51.1445,56.7816,11.7866,91.0376,0.0,86.6667,137.198,162.039,186.88,286079653.4225,148719506.0
22,183.0,183.2,174.14,175.94,175.94,2011635,0.0,1.0,2019-11-18,DOWN,161.453,165.1712,5.2987,-0.2623,5.5611,48.0139,46.1867,59.99,11.6854,94.8497,1.6667,88.3333,136.3076,161.453,186.5984,286448785.7277,147612100.0
23,180.62,183.46,180.32,183.46,183.46,1211119,0.0,1.0,2019-11-15,UP,160.7917,164.5669,5.3431,-0.2836,5.6266,52.7026,52.2803,59.2105,11.5825,126.7167,3.3333,90.0,135.8615,160.7917,185.7218,287661093.9918,149623735.0
24,180.08,181.18,179.02,179.92,179.92,863943,0.0,1.0,2019-11-14,DOWN,160.1563,164.0227,5.5643,-0.1333,5.6975,59.1802,45.5747,59.0324,11.3578,118.4365,5.0,91.6667,135.3371,160.1563,184.9755,286449974.9918,148412616.0
25,181.1,181.62,179.14,181.0,181.0,762000,0.0,1.0,2019-11-13,UP,159.5107,163.4784,5.8206,0.0898,5.7309,70.06,60.2528,59.515,11.1578,127.5487,6.6667,93.3333,134.7828,159.5107,184.2385,286593966.5088,149276559.0
26,182.08,183.1,181.24,182.94,182.94,709387,0.0,1.0,2019-11-12,UP,158.856,162.881,5.9593,0.2509,5.7084,79.8672,71.713,59.9782,10.9519,145.5986,8.3333,95.0,134.3705,158.856,183.3415,286212964.1646,150038559.0
27,180.0,181.88,179.0,181.5,181.5,961942,0.0,1.0,2019-11-11,DOWN,158.177,162.2302,5.9499,0.3042,5.6457,88.592,78.2143,59.3174,10.7002,143.023,0.0,96.6667,134.0483,158.177,182.3057,285625624.9939,149329172.0
28,183.78,183.78,180.76,181.68,181.68,925995,0.0,1.0,2019-11-08,UP,157.493,161.6278,6.0631,0.4935,5.5696,94.2396,89.6742,61.121,10.459,159.3172,0.0,98.3333,133.5516,157.493,181.4344,284917531.6309,150291114.0
29,180.0,184.32,180.0,184.24,184.24,1397762,0.0,1.0,2019-11-07,UP,156.778,160.8769,5.7346,0.2883,5.4462,89.0535,97.8874,59.9227,10.1779,173.6762,1.6667,100.0,133.4653,156.778,180.0907,285279346.1678,151217109.0
30,177.76,179.9,177.46,179.66,179.66,1080655,0.0,1.0,2019-11-06,DOWN,156.163,160.2287,5.6167,0.2425,5.3741,71.724,95.1571,59.1897,9.892,157.0453,3.3333,100.0,133.3926,156.163,178.9334,283933354.2278,149819347.0
31,177.72,178.36,176.64,178.2,178.2,1135005,0.0,1.0,2019-11-05,DOWN,155.5337,159.6344,5.6126,0.2991,5.3135,49.5196,74.1159,59.1766,9.6542,156.7072,5.0,93.3333,133.101,155.5337,177.9664,283065279.5628,148738692.0
32,175.2,177.98,174.9,177.72,177.72,1743303,0.0,1.0,2019-11-04,DOWN,154.9367,159.0213,5.5298,0.291,5.2388,37.1215,45.8992,58.3477,9.4316,158.3952,6.6667,95.0,132.9964,154.9367,176.877,282141442.967,147603687.0
33,172.1,173.14,171.26,172.7,172.7,851623,0.0,1.0,2019-11-01,DOWN,154.409,158.4729,5.6002,0.4342,5.166,43.1245,28.5439,57.2989,9.2099,132.4632,8.3333,96.6667,132.9253,154.409,175.8927,280692457.4569,145860384.0
34,173.06,173.72,169.64,170.7,170.7,1439069,0.0,1.0,2019-10-31,DOWN,153.9573,158.011,5.9243,0.8669,5.0574,56.2444,36.9214,57.7416,9.0469,130.5764,10.0,98.3333,132.8441,153.9573,175.0706,280239467.6765,145008761.0
35,178.5,178.5,172.86,174.58,174.58,1554028,0.0,1.0,2019-10-30,UP,153.4743,157.5008,6.1541,1.3133,4.8407,70.8922,63.9083,60.3397,8.8812,166.7452,11.6667,100.0,132.81,153.4743,174.1386,280930787.1955,146447830.0
36,176.0,176.16,172.82,173.3,173.3,1096469,0.0,1.0,2019-10-29,DOWN,152.886,156.789,5.8039,1.2915,4.5124,75.3016,67.9036,59.5165,8.6491,165.6887,13.3333,98.3333,133.1145,152.886,172.6575,281536967.5549,144893802.0
37,173.0,176.72,172.76,176.12,176.12,1148433,0.0,1.0,2019-10-28,UP,152.353,156.1378,5.5271,1.3376,4.1895,81.0866,80.8648,58.5002,8.4433,182.8598,15.0,100.0,133.3951,152.353,171.3109,282318286.2477,145990271.0
38,175.08,176.3,172.26,172.36,172.36,1136154,0.0,1.0,2019-10-25,DOWN,151.9257,155.5662,5.3989,1.5438,3.8551,80.3409,77.1363,59.5189,8.2341,180.2475,16.6667,100.0,133.7072,151.9257,170.1441,281517866.1981,144841838.0
39,172.08,175.16,172.06,175.0,175.0,1297823,0.0,1.0,2019-10-24,UP,151.521,154.9047,4.9449,1.4757,3.4692,79.7552,85.2587,58.4938,8.0267,195.9274,18.3333,100.0,134.328,151.521,168.714,282597771.6369,145977992.0
40,168.8,171.94,168.24,171.62,171.62,835720,0.0,1.0,2019-10-23,DOWN,151.18,154.3225,4.599,1.4987,3.1003,77.3767,78.6275,57.3321,7.8304,177.9356,20.0,93.3333,134.8412,151.18,167.5188,281433920.2652,144680169.0
41,171.1,171.98,170.18,171.02,171.02,763069,0.0,1.0,2019-10-22,DOWN,150.912,153.8317,4.4245,1.6989,2.7256,79.4637,75.3793,58.4603,7.6731,194.2319,21.6667,95.0,135.2235,150.912,166.6005,280742760.6659,143844449.0
42,169.5,172.16,169.5,170.88,170.88,994619,0.0,1.0,2019-10-21,DOWN,150.6423,153.2463,3.9033,1.6024,2.3009,85.1928,78.1233,57.8935,7.476,204.3027,23.3333,96.6667,135.8187,150.6423,165.466,280793623.3085,143081380.0
43,165.2,169.92,164.1,169.34,169.34,1437938,0.0,1.0,2019-10-18,DOWN,150.4027,152.6954,3.3442,1.4439,1.9002,91.5595,84.8885,56.3183,7.2755,183.4114,25.0,98.3333,136.362,150.4027,164.4433,280756229.3858,142086761.0
44,169.38,173.3,168.92,170.18,170.18,1660704,0.0,1.0,2019-10-17,UP,150.3307,152.2715,3.0197,1.4805,1.5393,95.3546,92.5667,58.4069,7.1008,224.1455,26.6667,100.0,136.5524,150.3307,164.1089,279604892.0078,143524699.0
45,164.12,169.98,164.0,169.78,169.78,2025267,0.0,1.0,2019-10-16,DOWN,150.1247,151.6915,2.1361,0.9669,1.1691,96.0315,97.2235,56.4064,6.8287,201.1942,28.3333,100.0,137.1454,150.1247,163.1039,280310127.7042,141863995.0
46,162.9,165.5,161.96,164.64,164.64,1265708,0.0,1.0,2019-10-15,DOWN,149.916,151.2702,1.5127,0.5853,0.9274,89.9018,96.2736,55.9229,6.5953,164.7215,30.0,100.0,137.4511,149.916,162.3809,278420328.0989,139838728.0
47,160.0,162.2,159.16,161.84,161.84,1106573,0.0,1.0,2019-10-14,DOWN,149.7153,150.876,0.8193,0.0382,0.7811,76.2221,94.5973,54.7499,6.4198,136.8881,31.6667,100.0,137.7139,149.7153,161.7167,277769598.4698,138573020.0
48,154.66,162.12,154.14,161.5,161.5,1820836,0.0,1.0,2019-10-11,DOWN,149.5763,150.5667,0.2176,-0.554,0.7716,55.3699,78.8345,52.4588,6.2898,119.6993,33.3333,100.0,137.8649,149.5763,161.2877,276925109.5717,137466447.0
49,152.0,154.8,150.84,153.94,153.94,1092565,0.0,1.0,2019-10-10,DOWN,149.5497,150.4279,-0.0099,-0.9199,0.9101,35.4512,55.2344,51.2498,6.1589,46.558,35.0,10.0,137.8775,149.5497,161.2219,275387208.4171,135645611.0
50,148.52,151.26,148.2,150.0,150.0,591144,0.0,1.0,2019-10-09,DOWN,149.5907,150.3747,-0.0292,-1.1693,1.14,20.8671,32.0407,49.6009,6.1422,3.4667,36.6667,11.6667,137.8672,149.5907,161.3142,274769191.3841,134553046.0
51,149.76,150.12,146.64,149.1,149.1,842596,0.0,1.0,2019-10-08,DOWN,149.6833,150.4375,0.3008,-1.1315,1.4324,16.3584,19.0784,50.1958,6.1874,-12.5968,38.3333,13.3333,137.9074,149.6833,161.4593,274664870.1207,133961902.0
52,147.84,148.66,146.2,148.54,148.54,470517,0.0,1.0,2019-10-07,DOWN,149.7597,150.4605,0.5915,-1.1237,1.7152,23.7097,11.4823,49.2694,6.2541,-23.851,40.0,15.0,137.9235,149.7597,161.5959,274316204.9929,133119306.0
53,148.94,149.3,146.54,147.82,147.82,1124048,0.0,1.0,2019-10-04,DOWN,149.7937,150.5493,1.1494,-0.8468,1.9962,38.5422,18.5144,49.7912,6.3487,-23.7689,41.6667,16.6667,137.968,149.7937,161.6193,273891595.9343,132648789.0
54,153.5,153.74,148.92,149.14,149.14,1176460,0.0,1.0,2019-10-02,UP,149.8693,150.6039,1.7327,-0.4752,2.2079,49.2787,41.1325,52.0375,6.4387,8.95,43.3333,18.3333,138.0085,149.8693,161.7302,273973040.9428,133772837.0
55,156.4,157.66,153.18,153.8,153.8,827133,0.0,1.0,2019-10-01,UP,149.8777,150.5057,1.9877,-0.3389,2.3267,46.7847,55.9797,53.5482,6.485,61.0815,45.0,20.0,138.0059,149.8777,161.7494,275042105.8211,134949297.0
56,154.36,156.36,153.56,156.06,156.06,780092,0.0,1.0,2019-09-30,UP,149.835,150.3059,1.9891,-0.4223,2.4114,35.6655,50.7241,52.5963,6.4468,67.1557,46.6667,21.6667,138.0391,149.835,161.6309,275640296.9529,135776430.0
57,154.36,155.54,154.24,154.9,154.9,472449,0.0,1.0,2019-09-27,DOWN,149.8207,150.1685,2.1696,-0.3474,2.517,27.1518,33.6503,52.5963,6.4308,61.9625,48.3333,23.3333,138.0448,149.8207,161.5966,275027369.0423,134996338.0
