,time,summary,title,trend
0,2019-12-23,"['....', 'Weeks', 'later,', 'Germany’s', 'cartel', 'authority', 'fined', 'BMW,', 'along', 'with', 'rivals', 'Volkswagen', 'and', 'Daimler,', 'for', 'anti-competitive...']","['BMW', 'faces', 'US', 'investigation', 'into', 'sales', 'figures']",NC
1,2019-12-23,"['...-known', 'method', 'of', 'boosting', 'sales', 'statistics,', 'it', 'involves', 'dealerships', 'buying', 'cars', 'ostensibly', 'for', 'use', 'as', 'temporary...']","['BMW', 'faces', 'US', 'investigation', 'into', 'sales', 'figures']",NC
2,2019-12-23,"['...engineering.', 'Wrong,', 'wrong,', 'wrong.The', 'business', 'model', 'is', 'simple', 'enough.', 'Aston', 'makes', 'flashy', 'sports', 'cars', 'costing', 'upwards', 'of...']","['Aston', 'Martin:', 'fender', 'bender']",NC
3,2019-12-23,"['...iPad', 'or', 'Alexa,', 'without', 'virtual', 'reality', 'headsets,', 'Instagram,', 'Snapchat', 'or', 'TikTok,', 'without', 'self-driving', 'cars', 'on', 'the', 'streets...']","['Back', 'to', 'the', 'future:', 'tech', 'predictions', 'then', 'and', 'now']",NC
4,2019-12-23,"['...developing', 'systems', 'to', 'clean', 'the', 'emissions', 'of', 'petrol', 'and', 'diesel', 'passenger', 'cars”.', 'BMW', 'has', 'vowed', 'to', 'strongly...']","['BMW', 'faces', 'US', 'investigation', 'into', 'sales', 'figures']",NC
5,2019-12-23,"['...developing', 'systems', 'to', 'clean', 'the', 'emissions', 'of', 'petrol', 'and', 'diesel', 'passenger', 'cars”.', 'BMW', 'has', 'vowed', 'to', 'strongly...']","['BMW', 'faces', 'US', 'investigation', 'into', 'sales', 'figures']",NC
6,2019-12-23,"['...country', 'to', 'introduce', 'e-money', 'contactless', 'cards', 'for', 'public', 'transport', 'in', '2000', 'and', 'the', 'first', 'to', 'launch', 'mobile', 'phone-based...']","[""Japan's"", 'quest', 'for', 'cashless', 'payments']",NC
7,2019-12-23,"['Ryanair', 'has', 'failed', 'in', 'an', 'attempt', 'to', 'prevent', 'easyJet', 'from', 'hiring', 'its', 'former', 'chief', 'operating', 'officer,', 'after', 'a', 'Dublin', 'judge...']","['Ryanair', 'fails', 'in', 'effort', 'to', 'block', 'former', 'executive’s', 'move', 'to', 'easyJet']",NC
8,2019-12-23,"['...cent', 'of', 'its', 'delivery', 'vehicles', 'electric', 'by', '2025,', 'and', 'move', 'more', 'long-distance', 'transport', 'to', 'trains', 'and', 'ships', 'instead', 'of...']","['Climate', 'costs', 'mount', 'as', 'retailers', 'compete', 'on', 'fast', 'delivery']",NC
9,2019-12-23,"['...:', '“The', 'third', 'runway', 'was', 'approved', 'by', 'the', 'secretary', 'of', 'state', 'for', 'transport', 'based', 'on', 'customer', 'charges', 'remaining', 'at', 'current...']","['Heathrow', 'shows', 'detailed', 'costings', 'for', 'third', 'runway']",NC
10,2019-12-23,"['...replacements', 'for', 'customers', 'whose', 'vehicles', 'are', 'being', 'repaired,', 'only', 'to', 'sell', 'them', 'on', 'soon', 'after.', 'In', '2016,...']","['BMW', 'faces', 'US', 'investigation', 'into', 'sales', 'figures']",NC
11,2019-12-23,"['...successor', 'company', 'will', 'be', 'producing', 'lithium', 'within', 'five', 'years.”', 'With', 'battery-powered', 'vehicles', 'set', 'to', 'go', 'mainstream,', 'the...']","['SoftBank-backed', 'Nemaska', 'Lithium', 'files', 'for', 'bankruptcy', 'protection']",NC
12,2019-12-23,"['...ban', 'certain', 'vehicles.', 'The', 'choices', 'customers', 'make', 'when', 'shopping', 'online', 'can', 'also', 'have', 'an', 'impact', 'on', 'the', 'carbon', 'footprint...']","['Climate', 'costs', 'mount', 'as', 'retailers', 'compete', 'on', 'fast', 'delivery']",NC
13,2019-12-23,"['...securities', 'around', 'the', 'world.', 'Bermuda', 'has', 'become', 'a', 'centre', 'for', 'companies', 'that', 'create', 'and', 'manage', 'these', 'vehicles', 'and', 'is', 'now...']","['Bermuda’s', 'status', 'as', 'safe', 'harbour', 'for', 'insurers', 'under', 'threat']",NC
14,2019-12-23,"['...introducing', 'more', 'electric', 'vehicles.', 'At', 'the', 'same', 'time,', 'California', 'will', 'also', 'boost', 'its', 'wind', 'and', 'solar', 'power,', 'and...']","['Fire', 'and', 'flood', 'focus', 'minds', 'of', 'bosses', 'and', 'investors']",NC
15,2019-12-23,"['...list', 'of', 'legal', 'headaches', 'faced', 'by', 'the', 'Munich-based', 'company.', 'A', 'spokesman', 'for', 'the', 'German', 'carmaker', 'confirmed', 'that', 'the...']","['BMW', 'faces', 'US', 'investigation', 'into', 'sales', 'figures']",NC
16,2019-12-23,"['...German', 'software', 'business', 'at', '€2bn', 'and', 'is', 'the', 'latest', 'in', 'a', 'series', 'of', 'so-called', '“', 'pass', 'the', 'parcel”', 'deals', 'between', 'buyout...']","['Hg', 'to', 'regain', 'control', 'of', 'software', 'company', 'Personal', '&', 'Informatik']",NC
17,2019-12-23,"['...year.', 'When', 'the', 'FT', 'revealed', 'that', 'H2O', 'Asset', 'Management', 'had', 'large', 'holdings', 'of', 'illiquid', 'bonds', 'linked', 'to', 'a', 'racy...']","['The', 'big', 'market', 'moments', 'of', '2019']",NC
18,2019-12-23,"['...fabricated', 'by', 'a', 'German', 'metal', 'company.', 'So', 'it’s', 'an', 'apt', 'time', 'for', 'the', 'Whitney', 'to', 'pay', 'homage', 'to', 'artists', 'such', 'as', 'Lou,...']","['Spinning', 'craft', 'into', 'art', 'at', 'the', 'Whitney', 'Museum']",NC
19,2019-12-23,"['...at', 'German', 'bank', 'Berenberg.', 'Only', 'two', 'economists', 'thought', 'the', 'ECB', 'might', 'lower', 'its', 'inflation', 'objective....']","['FT', 'poll:', 'Christine', 'Lagarde', 'expected', 'to', 'change', 'ECB', 'inflation', 'target']",NC
20,2019-12-23,"['...killed', 'one', 'by', 'one,”', 'the', 'Turkish-German', 'player', 'wrote', 'on', 'Twitter.', '“Despite', 'all', 'this,', 'Muslims', 'stay', 'quiet.”', 'Muslim', 'leaders', 'are...']","['China’s', 'global', 'power', 'damps', 'criticism', 'of', 'Uighur', 'crackdown']",NC
21,2019-12-23,"['...needed', 'to', 'reach', 'the', 'target.', 'FT', 'Series:', 'The', 'responsible', 'capitalists', 'The', 'year', 'capitalism', 'went', 'cuddly', 'German', 'bosses', 'question...']","['Fire', 'and', 'flood', 'focus', 'minds', 'of', 'bosses', 'and', 'investors']",NC
22,2019-12-23,"['...former', 'crisis', 'spots', 'such', 'as', 'Italy,', 'Spain,', 'Portugal', 'and', 'Greece,', 'spreads', 'over', 'German', 'debt', '-—', 'a', 'measure', 'of', 'how', 'risky...']","['How', '2019’s', 'mammoth', 'bond', 'rally', 'buoyed', 'the', 'entire', 'eurozone']",NC
23,2019-12-23,"['...issue.', 'Under', 'the', 'burden', 'of', 'reunification', 'at', 'the', 'beginning', 'of', 'the', '1990s,', 'the', 'German', 'economy', 'heated', 'up.', 'The', 'Bundesbank', 'then...']","['Letter:', 'US', 'and', 'Germany', 'need', 'only', 'look', 'after', 'themselves']",NC
24,2019-12-23,"['FT', 'subscribers', 'can', 'click', 'here', 'to', 'receive', 'FirstFT', 'every', 'day', 'by', 'email.', 'Welcome', 'to', 'a', 'special', 'edition', 'of', 'FirstFT,', 'where', 'we...']","['FirstFT:', '2019', 'in', 'review']",NC
25,2019-12-23,"['Stave', 'One', 'This', 'is', 'a', 'timeless', 'tale', 'for', 'now', 'and', 'every', 'Christmas,', 'about', 'a', 'lonely', 'man', '—', 'tight-fisted,', 'wrenching,', 'grasping...']","['Corporate', 'Scrooges', 'shown', 'spectral', 'vision', 'of', 'purpose', 'over', 'profit']",NC
26,2019-12-23,"['....', 'Saudi’s', 'heir', 'apparent', 'has', 'promised', 'to', 'overhaul', 'the', 'kingdom’s', 'oil-dependent', 'economy', 'and', 'has', 'eased', 'some', 'social', 'restrictions...']","['Saudi', 'Arabia', 'sentences', 'five', 'to', 'death', 'for', 'Jamal', 'Khashoggi', 'murder']",NC
27,2019-12-23,"['...receive', 'reward', 'points', 'to', 'offset', 'the', 'tax', 'increase.', 'The', 'response', 'by', 'the', 'SMEs,', 'revealed', 'the', 'Ministry', 'of', 'Economy,', 'Trade', 'and...']","[""Japan's"", 'quest', 'for', 'cashless', 'payments']",NC
28,2019-12-23,"['...had', 'to', 'deal', 'with', 'a', 'trade', 'war', 'and', 'a', 'sharp', 'slowdown', 'in', 'China’s', 'economy.', 'Their', 'net', 'profits', 'have', 'jumped', 'and', 'their', 'asset...']","['China', 'banks:', 'still', 'standing']",NC
29,2019-12-23,"['...final', 'resolution.', 'The', 'EU,', 'its', 'new', 'commission', 'struggling', 'to', 'assert', 'Europe’s', 'role', 'in', 'the', 'global', 'economy,', 'fears', 'it', 'is', 'next', 'in...']","['Trade', 'Secrets:', 'a', 'year', 'in', 'charts']",NC
30,2019-12-23,"['Earlier', 'this', 'month,', 'Tokyo', 'threw', 'open', 'the', 'doors', 'of', 'its', 'gorgeous,', 'just-completed', 'Olympic', 'stadium', 'with', 'the', 'superb', 'slogan...']","['Japan', 'is', 'wondering', 'if', 'the', 'Olympics', 'are', 'really', 'worth', 'it']",NC
31,2019-12-23,"['...political', 'positions', 'are', 'contrary', 'to', 'what', 'we', 'consider', 'helps', 'business', 'and', 'the', 'economy.”', 'Mr', 'Iglesias', 'and', 'his', 'party...']","['Spain’s', 'businesses', 'worried', 'by', 'prospect', 'of', 'radical', 'left', 'in', 'power']",NC
32,2019-12-23,"['I', 'recently', 'wrote', 'a', 'column', 'about', 'the', 'possibility', 'of', 'a', 'reset', 'for', 'Argentina,', 'which', 'has', 'struggled', 'with', 'on', 'and', 'off', 'debt...']","['What', 'I', 'want', 'for', 'Xmas', '—', 'more', 'empathy']",NC
33,2019-12-23,"['President', 'Xi', 'Jinping', 'played', 'the', 'unlikely', 'role', 'of', 'potential', 'peacemaker', 'between', 'two', 'feuding', 'US', 'allies', 'on', 'Monday', 'as', 'he', 'met...']","['Xi', 'turns', 'peacemaker', 'amid', 'dispute', 'between', 'Tokyo', 'and', 'Seoul']",NC
34,2019-12-23,"['...fight', 'to', 'lift', 'price', 'pressures', 'to', 'a', 'level', 'that', 'would', 'signal', 'all', 'is', 'well', 'in', 'the', 'economy.', 'A', 'few', 'have', 'explicitly', 'called', 'for...']","['Can', 'social', 'pacts', 'spur', 'inflation?']",NC
35,2019-12-23,"['Elsewhere', 'on', 'Monday,--', 'Twelve', 'million', 'phones,', 'one', 'dataset,', 'zero', 'privacy.--', 'How', 'Vogue', 'editors', 'spend', 'Christmas.--', 'Non...']","['Further', 'reading']",NC
36,2019-12-23,"['Marcello', 'Minenna', 'is', 'the', 'head', 'of', 'Quantitative', 'Analysis', 'and', 'Financial', 'Innovation', 'at', 'Consob,', 'the', 'Italian', 'securities...']","['The', 'European', '(In)stability', 'Mechanism']",NC
37,2019-12-23,"['...Peace', 'Prize-winning', 'prime', 'minister', 'Abiy', 'Ahmed,', 'has', 'been', 'the', 'world’s', 'fastest-growing', 'economy', 'over', 'the', 'past', 'decade,', 'both', 'in...']","['Ethiopia', 'seizes', 'crown', 'as', 'fastest-growing', 'country', 'in', 'the', '2010s']",NC
38,2019-12-23,"['Attracting', 'comparatively', 'little', 'notice', 'in', 'the', 'midst', 'of', 'its', 'trade', 'war', 'with', 'the', 'US,', 'China’s', 'new', 'foreign', 'investment', 'law...']","['China’s', 'new', 'foreign', 'investment', 'law', 'is', 'a', 'missed', 'opportunity']",NC
39,2019-12-23,"['....“Chile', 'is', 'at', 'the', 'forefront', 'of', 'renewables', 'due', 'to', 'its', 'stable', 'economy,', 'clear', 'policies', 'towards', 'renewables', 'and', 'strong', 'positive...']","['Latam', 'renewable', 'energy', 'investment', 'hits', 'record', 'high']",NC
40,2019-12-23,"['...economy', 'and', 'its', 'ability', 'to', 'shield', 'itself', 'from', 'risks.', 'Now', 'the', 'Fed', 'is', 'waiting', 'for', 'a', '“material”', 'change', 'in', 'economic', 'conditions...']","['The', 'big', 'market', 'moments', 'of', '2019']",NC
41,2019-12-23,"['Christine', 'Lagarde', 'is', 'expected', 'to', 'significantly', 'change', 'the', 'European', 'Central', 'Bank’s', 'inflation', 'target', 'for', 'the', 'first', 'time', 'in...']","['FT', 'poll:', 'Christine', 'Lagarde', 'expected', 'to', 'change', 'ECB', 'inflation', 'target']",NC
42,2019-12-23,"['...and', 'businesses', 'in', 'the', 'reinsurance', 'sector', 'have', 'slowly', 'been', 'leaking', 'away', 'from', 'Bermuda,', 'threatening', 'the', 'island’s', 'economy...']","['Bermuda’s', 'status', 'as', 'safe', 'harbour', 'for', 'insurers', 'under', 'threat']",NC
43,2019-12-23,"['What', 'is', 'rentier', 'capitalism', 'today?', 'According', 'to', 'some', 'economists', 'it', 'is', 'a', '“rigged”', 'system,', 'supporting', 'and', 'extending', 'the...']","['Plunder', 'of', 'the', 'Commons,', 'by', 'Guy', 'Standing']",NC
44,2019-12-23,"['A', 'top', 'US', 'development', 'finance', 'official', 'has', 'warned', 'that', ""China's"", '$1.3tn', 'global', 'spending', 'spree', 'on', 'infrastructure', 'is', 'destined...']","['China’s', '$1.3tn', 'global', 'spending', 'spree', 'will', 'collapse,', 'says', 'top', 'US', 'official']",NC
45,2019-12-23,"['...2050,', 'which', 'will', 'mean', 'a', 'radical', 'restructuring', 'of', 'the', 'economy', 'in', 'coming', 'decades.', 'As', 'companies', 'try', 'to', 'plan', 'for', 'these...']","['Fire', 'and', 'flood', 'focus', 'minds', 'of', 'bosses', 'and', 'investors']",NC
46,2019-12-23,"['This', 'year’s', 'rally', 'reached', 'all', 'corners', 'of', 'the', 'eurozone’s', 'sovereign', 'bond', 'market.', 'Every', 'member', 'of', 'the', 'currency', 'bloc', 'has...']","['How', '2019’s', 'mammoth', 'bond', 'rally', 'buoyed', 'the', 'entire', 'eurozone']",NC
47,2019-12-23,"['Rolls-Royce', 'is', 'slashing', 'next', 'year’s', 'intake', 'of', 'apprentices', 'and', 'graduate', 'trainees', 'by', 'almost', '30', 'per', 'cent,', 'scaling', 'back', 'its...']","['Rolls-Royce', 'cuts', 'apprentice', 'and', 'graduate', 'schemes', 'by', 'almost', '30%']",NC
48,2019-12-23,"['...manufacturing', 'back', 'home.', '“The', 'economy', 'is', 'doing', 'relatively', 'well,', 'and', 'we', 'are', 'getting', 'to', 'the', 'point', 'where', 'some...']","['Hong', 'Kong', 'protests', 'loom', 'large', 'over', 'Taiwan', 'election']",NC
49,2019-12-23,"['...economy', 'this', 'month', 'declined', '2', 'per', 'cent', 'from', 'a', 'year', 'earlier,', 'with', 'its', 'semiconductor', 'shipments', 'abroad', 'down', '16.7', 'per', 'cent...']","['Battered', 'chipmakers', 'hope', 'for', 'a', 'better', '2020', 'as', '5G', 'boosts', 'demand']",NC
50,2019-12-23,"['...investments', 'to', 'help', 'society', 'or', 'keep', 'the', 'planet', 'liveable.', 'Interest', 'nets', 'out', 'to', 'zero', 'in', 'an', 'economy,', 'so', 'should', 'not', 'be', 'a...']","['Letter:', 'Narrow', 'shareholder', 'focus', 'is', 'not', 'an', 'option']",NC
51,2019-12-23,"['...issue.', 'Under', 'the', 'burden', 'of', 'reunification', 'at', 'the', 'beginning', 'of', 'the', '1990s,', 'the', 'German', 'economy', 'heated', 'up.', 'The', 'Bundesbank', 'then...']","['Letter:', 'US', 'and', 'Germany', 'need', 'only', 'look', 'after', 'themselves']",NC
52,2019-12-23,"['...compared', 'to', 'a', 'national', 'average', 'of', 'plus', '6', 'per', 'cent.', 'Mr', 'Nevin', 'said:', '“There', 'is', 'now', 'a', 'clear', 'two-speed', 'economy', 'in...']","['Southern', 'manufacturing', 'outpaces', 'north', 'and', 'Midlands']",NC
53,2019-12-23,"['...historic', 'rate,', 'output', 'of', 'the', 'UK', 'economy', 'for', 'every', 'hour', 'worked', 'would', 'be', 'more', 'than', '20', 'per', 'cent', 'higher.', 'Living', 'standards...']","['Poor', 'productivity', 'growth', 'of', '0.3%', 'is', '‘statistic', 'of', 'the', 'decade’']",NC
54,2019-12-23,"['Heathrow', 'Airport', 'has', 'for', 'the', 'first', 'time', 'laid', 'out', 'detailed', 'costings', 'for', 'its', 'contentious', 'third', 'runway', 'expansion,', 'including...']","['Heathrow', 'shows', 'detailed', 'costings', 'for', 'third', 'runway']",NC
55,2019-12-23,"['...moment', 'we’ve', 'got', 'a', 'stagnant,', 'fragile', 'economy,', 'an', 'angry,', 'discontented', 'population.', 'It’s', 'a', 'very', 'dangerous', 'world...']","['UK', 'visa', 'numbers', 'to', 'be', 'raised', 'in', 'science', 'research', 'push']",NC
56,2019-12-20,"['...British', 'name', 'for', 'the', 'Volkswagen', 'Type', '2,', 'launched', 'in', '1950?', 'What', 'was', 'the', 'last', 'word', 'of', 'Winston', 'Churchill’s', 'House', 'of', 'Commons...']","['FT', 'Weekend', 'Quiz:', 'Andy', 'Murray,', 'Winston', 'Churchill', 'and', 'Charlton', 'Athletic']",UP
57,2019-12-20,"['...propelling', 'Ocado.', 'We', 'think', 'very', 'large', 'car', 'companies', 'such', 'as', 'Toyota', 'and', 'Volkswagen', 'are', 'over-discounted,', 'and', 'that', 'activists...']","['Where', 'to', 'invest', 'in', '2020']",UP
58,2019-12-20,"['An', 'Australian', 'court', 'has', 'ordered', 'Volkswagen', 'to', 'pay', 'a', 'record', 'fine', 'for', 'breaking', 'consumer', 'law', 'by', 'making', 'false...']","['Australian', 'court', 'hits', 'Volkswagen', 'with', 'record', 'emissions', 'fine']",UP
59,2019-12-20,"['...electronics', 'need', 'retesting,', 'and', 'its', 'engine', 'must', 'be', 'turned', 'over.', 'Much', 'like', 'one', 'of', 'the', 'cars', 'at', 'Renton,', 'one...']","['Aviation:', 'Boeing', 'parks', 'its', '737', 'aspirations']",UP
60,2019-12-20,"['...aggressively,', 'leveraging', 'relationships', 'from', 'his', 'days', 'at', 'Yonsei', 'University,', 'to', 'move', 'into', 'light', 'manufacturing', 'and', 'then...']","['Daewoo', 'founder', 'stood', 'for', 'Korea’s', 'best', 'and', 'worst']",UP
61,2019-12-20,"['...Technologies,', 'a', 'digital', 'map', 'provider', 'for', 'self-driving', 'cars,', 'in', 'an', 'attempt', 'to', 'compete', 'against', 'Silicon', 'Valley', 'in...']","['Mitsubishi', 'and', 'NTT', 'to', 'buy', '30%', 'of', 'self-driving', 'mapping', 'company', 'Here']",UP
