Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN NUMBER,Industry,Instrument
500002,,ABB,ABB India Limited,Active,B ,2.0,INE117A01022,Heavy Electrical Equipment,Equity
500003,,AEGISLOG,AEGIS LOGISTICS LTD.,Active,A ,1.0,INE208C01025,Oil Marketing & Distribution,Equity
500008,,AMARAJABAT,AMARA RAJA BATTERIES LTD.,Active,A ,1.0,INE885A01032,Auto Parts & Equipment,Equity
500010,,HDFC,HOUSING DEVELOPMENT FINANCE CORP.LTD.,Active,A ,2.0,INE001A01036,Housing Finance ,Equity
500013,,ANSALAPI,ANSAL PROPERTIES & INFRASTRUCTURE LTD.,Active,B ,5.0,INE436A01026,Realty,Equity
500020,,BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Active,A ,2.0,INE032A01023,Textiles,Equity
500023,,ASIANHOTNR,Asian Hotels (North) Limited,Active,B ,10.0,INE363A01022,Hotels,Equity
500027,,ATUL,ATUL LTD.,Active,A ,10.0,INE100A01010,Specialty Chemicals,Equity
500029,,AUTOLITIND,AUTOLITE (INDIA) LTD.,Active,B ,10.0,INE448A01013,Auto Parts & Equipment,Equity
500031,,BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Active,A ,2.0,INE193E01025,Household Appliances,Equity
500032,,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,B ,1.0,INE306A01021,Sugar,Equity
500033,,FORCEMOT,FORCE MOTORS LTD.-$,Active,A ,10.0,INE451A01017,Cars & Utility Vehicles,Equity
500034,,BAJFINANCE,Bajaj Finance Limited,Active,A ,2.0,INE296A01024,Finance (including NBFCs),Equity
500038,,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Active,A ,1.0,INE119A01028,Sugar,Equity
500039,,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Parts & Equipment,Equity
500040,,CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Active,A ,10.0,INE055A01016,Paper & Paper Products,Equity
500041,,BANARISUG,BANNARI AMMAN SUGARS LTD.,Active,B ,10.0,INE459A01010,Sugar,Equity
500042,,BASF,BASF INDIA LTD.,Active,A ,10.0,INE373A01013,Specialty Chemicals,Equity
500043,,BATAINDIA,BATA INDIA LTD.,Active,A ,5.0,INE176A01028,Footwear,Equity
500048,,BEML,BEML LTD.,Active,A ,10.0,INE258A01016,Commercial Vehicles,Equity
500049,,BEL,BHARAT ELECTRONICS LTD.,Active,A ,1.0,INE263A01024,Defence,Equity
500052,,BEPL,BHANSALI ENGINEERING POLYMERS LTD.-$,Active,B ,1.0,INE922A01025,Specialty Chemicals,Equity
500055,,TATASTLBSL,Tata Steel Bsl Ltd,Active,B ,2.0,INE824B01021,Iron & Steel/Interm.Products,Equity
500060,,BIRLACABLE,Birla Cable Ltd,Active,B ,10.0,INE800A01015,Other Elect.Equip./ Prod.,Equity
500067,,BLUESTARCO,BLUE STAR LTD.,Active,A ,2.0,INE472A01039,Consumer Electronics,Equity
500074,,BPL,BPL LTD.,Active,B ,10.0,INE110A01019,Consumer Electronics,Equity
500078,,OAL,Oriental Aromatics Ltd-$,Active,B ,5.0,INE959C01023,Specialty Chemicals,Equity
500083,,CENTEXT,CENTURY EXTRUSIONS LTD.,Active,B ,1.0,INE281A01026,Aluminium,Equity
500084,,CESC,CESC LTD.,Active,A ,10.0,INE486A01013,Electric Utilities,Equity
500085,,CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Active,A ,10.0,INE085A01013,Fertilizers,Equity
500086,,EXIDEIND,EXIDE INDUSTRIES LTD.,Active,A ,1.0,INE302A01020,Auto Parts & Equipment,Equity
500087,,CIPLA,CIPLA LTD.,Active,A ,2.0,INE059A01026,Pharmaceuticals,Equity
500089,,DICIND,DIC INDIA LTD.,Active,B ,10.0,INE303A01010,Specialty Chemicals,Equity
500092,,CRISIL,CRISIL LTD.,Active,A ,1.0,INE007A01025,Other Financial Services,Equity
500093,,CGPOWER,CG Power and Industrial Solutions Ltd,Active,B ,2.0,INE067A01029,Heavy Electrical Equipment,Equity
500096,,DABUR,DABUR INDIA LTD.,Active,A ,1.0,INE016A01026,Personal Products,Equity
500097,,DALMIASUG,Dalmia Bharat Sugar and Industries Ltd,Active,B ,2.0,INE495A01022,Sugar,Equity
500101,,ARVIND,ARVIND LTD.,Active,A ,10.0,INE034A01011,Textiles,Equity
500102,,BALLARPUR,BALLARPUR INDUSTRIES LTD.,Active,T ,2.0,INE294A01037,Paper & Paper Products,Equity
500103,,BHEL,BHARAT HEAVY ELECTRICALS LTD.,Active,A ,2.0,INE257A01026,Heavy Electrical Equipment,Equity
500104,,HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE094A01015,Refineries/ Petro-Products,Equity
500106,,IFCI,IFCI LTD.,Active,A ,10.0,INE039A01010,Financial Institutions,Equity
500108,,MTNL,MAHANAGAR TELEPHONE NIGAM LTD.,Active,B ,10.0,INE153A01019,Telecom Services,Equity
500109,,MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Active,A ,10.0,INE103A01014,Refineries/ Petro-Products,Equity
500110,,CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE178A01016,Refineries/ Petro-Products,Equity
500111,,RELCAPITAL,RELIANCE CAPITAL LTD.,Active,B ,10.0,INE013A01015,Finance (including NBFCs),Equity
500112,,SBIN,STATE BANK OF INDIA,Active,A ,1.0,INE062A01020,Banks,Equity
500113,,SAIL,STEEL AUTHORITY OF INDIA LTD.,Active,A ,10.0,INE114A01011,Iron & Steel/Interm.Products,Equity
500114,,TITAN,Titan Company Limited,Active,A ,1.0,INE280A01028,Other Apparels & Accessories,Equity
500116,,IDBI,IDBI BANK LTD.,Active,A ,10.0,INE008A01015,Banks,Equity
500117,,DCW,DCW LTD.,Active,B ,2.0,INE500A01029,Petrochemicals,Equity
500119,,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Active,B ,10.0,INE041A01016,Sugar,Equity
500124,,DRREDDY,DR.REDDY&#39;S LABORATORIES LTD.,Active,A ,5.0,INE089A01023,Pharmaceuticals,Equity
500125,,EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Active,A ,1.0,INE126A01031,Sugar,Equity
500126,,PGHL,Procter & Gamble Health Ltd,Active,A ,10.0,INE199A01012,Pharmaceuticals,Equity
500128,,ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Active,B ,1.0,INE086A01029,Construction & Engineering,Equity
500133,,ESABINDIA,ESAB INDIA LTD.,Active,B ,10.0,INE284A01012,Other Industrial Goods,Equity
500135,,ESSELPRO,ESSEL PROPACK LTD.,Active,A ,2.0,INE255A01020,Containers & Packaging,Equity
500136,,ESTER,ESTER INDUSTRIES LTD.,Active,B ,5.0,INE778B01029,Containers & Packaging,Equity
500144,,FINCABLES,FINOLEX CABLES LTD.,Active,A ,2.0,INE235A01022,Other Elect.Equip./ Prod.,Equity
500148,,UFLEX,UFLEX LTD.,Active,A ,10.0,INE516A01017,Containers & Packaging,Equity
500150,,FOSECOIND,FOSECO INDIA LTD.,Active,B ,10.0,INE519A01011,Commodity Chemicals,Equity
500151,,GOLDENTOBC,GOLDEN TOBACCO LTD.,Active,B ,10.0,INE973A01010,Cigarettes-Tobacco Products,Equity
500155,,GARDENSILK,GARDEN SILK MILLS LTD.,Active,T ,10.0,INE526A01016,Textiles,Equity
500160,,GTL,GTL LTD.,Active,B ,10.0,INE043A01012,Other Telecom Services,Equity
500163,,GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Active,A ,2.0,INE260B01028,Cigarettes-Tobacco Products,Equity
500164,,GODREJIND,GODREJ INDUSTRIES LTD.,Active,A ,1.0,INE233A01035,Commodity Chemicals,Equity
500165,,KANSAINER,KANSAI NEROLAC PAINTS LTD.,Active,A ,1.0,INE531A01024,Furniture-Furnishing-Paints,Equity
500170,,GTNINDS,GTN INDUSTRIES LTD.,Active,B ,10.0,INE537A01013,Textiles,Equity
500171,,GHCL,GHCL LTD.,Active,A ,10.0,INE539A01019,Commodity Chemicals,Equity
500173,,GFLLIMITED,GFL Ltd,Active,B ,1.0,INE538A01037,Industrial Gases,Equity
500174,,GLFL,GUJARAT LEASE FINANCING LTD.,Active,B ,10.0,INE540A01017,Finance (including NBFCs),Equity
500179,,HCL-INSYS,HCL INFOSYSTEMS LTD.,Active,B ,2.0,INE236A01020,Computer Hardware,Equity
