,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
0,3064.3999,3094.6499,3041.0,3085.05,3085.05,273013,0.0,1.0,2019-12-05,3004.5667,3009.896,-2.0994,-16.1633,14.064,36.0273,38.5999,50.9477,11.8135,20.5023,55.0,18.3333,2122.1443,3004.5667,3886.989,-7589194.9373,126677158.0
1,3039.8999,3067.3501,3023.55,3049.25,3049.25,263755,0.0,1.0,2019-12-04,2997.6767,3008.0484,-0.5098,-18.6146,18.1048,43.1866,30.9858,50.7633,11.8875,14.2084,56.6667,20.0,2110.7862,2997.6767,3884.5671,-7745648.2066,126398759.0
2,3069.7,3116.0,3027.1499,3048.3,3048.3,522267,0.0,1.0,2019-12-03,2992.1783,3006.9687,4.021,-18.7374,22.7585,57.1614,38.4962,50.9925,11.9694,20.3512,58.3333,21.6667,2102.3176,2992.1783,3882.039,-7791412.978,126135004.0
3,3057.7,3089.95,3051.55,3069.7,3069.7,387666,0.0,1.0,2019-12-02,2986.0,3004.8422,6.7114,-20.7314,27.4428,67.372,60.0776,50.9047,12.0518,23.2849,60.0,23.3333,2093.2352,2986.0,3878.7648,-7517790.0216,126657271.0
4,3085.0,3095.0,3050.0,3057.7,3057.7,221117,0.0,1.0,2019-11-29,2979.8717,3003.0504,11.2694,-21.3563,32.6257,63.1683,72.9105,51.1095,12.1418,23.6628,61.6667,25.0,2084.1166,2979.8717,3875.6267,-7496588.4938,126269605.0
5,3110.3999,3110.3999,3060.0,3098.25,3098.25,234706,0.0,1.0,2019-11-28,2973.5083,3000.2724,14.1435,-23.8212,37.9647,46.1737,69.128,51.2984,12.2333,30.6199,63.3333,26.6667,2075.4095,2973.5083,3871.6071,-7351142.1634,126490722.0
6,3060.0,3100.0,3060.0,3091.1001,3091.1001,235618,0.0,1.0,2019-11-27,2966.6683,2996.5393,15.02,-28.9,43.92,26.8113,47.4664,50.9447,12.3237,30.2582,65.0,28.3333,2066.5949,2966.6683,3866.7417,-7472687.0346,126256016.0
7,3048.0,3083.0,3041.0,3055.25,3055.25,620959,0.0,1.0,2019-11-26,2957.9242,2994.3881,21.052,-30.0931,51.1451,14.9622,21.9267,50.8612,12.418,25.4188,66.6667,30.0,2051.4762,2957.9242,3864.3721,-7603456.1792,126020398.0
8,3025.5,3045.0,3004.3,3040.6001,3040.6001,437144,0.0,1.0,2019-11-25,2948.7908,2992.5707,29.6665,-29.0018,58.6683,11.8755,11.0409,50.7065,12.5178,19.5628,68.3333,31.6667,2035.1427,2948.7908,3862.439,-7403862.2149,125399439.0
9,3062.25,3072.0,3016.1499,3022.6499,3022.6499,349622,0.0,1.0,2019-11-22,2938.7892,2991.4545,42.5212,-23.3976,65.9188,13.5311,11.919,50.9642,12.6278,22.8878,70.0,33.3333,2015.6299,2938.7892,3861.9485,-7746490.5846,124962295.0
10,3113.0,3113.0,3061.6499,3072.6499,3072.6499,295648,0.0,1.0,2019-11-21,2927.6433,2989.0547,54.5681,-17.2001,71.7682,17.0126,12.6665,51.3185,12.7367,35.0527,71.6667,35.0,1994.6199,2927.6433,3860.6668,-7478248.6746,125311917.0
11,3120.0,3135.0,3060.0,3116.3,3116.3,504339,0.0,1.0,2019-11-20,2915.5767,2984.8531,63.9834,-12.0848,76.0682,26.7381,16.0079,51.367,12.8361,41.4546,73.3333,36.6667,1973.7687,2915.5767,3857.3846,-7309265.5935,125607565.0
12,3140.8999,3158.3501,3110.0,3120.3501,3120.3501,261351,0.0,1.0,2019-11-19,2904.7433,2980.2719,74.3573,-4.7321,79.0894,42.9248,22.3633,51.5097,12.9372,48.6385,75.0,38.3333,1957.6516,2904.7433,3851.8351,-7562108.2045,126111904.0
13,3203.0,3217.1499,3126.0,3140.8999,3140.8999,429862,0.0,1.0,2019-11-18,2894.395,2974.8268,84.3887,4.1163,80.2724,52.5877,41.843,51.9313,13.0278,57.0582,76.6667,40.0,1944.2871,2894.395,3844.5029,-7412649.7787,126373255.0
14,3230.2,3260.0,3185.1499,3195.55,3195.55,261412,0.0,1.0,2019-11-15,2882.6783,2967.0922,89.642,10.3986,79.2433,49.7242,64.5679,52.115,13.1161,69.9038,78.3333,41.6667,1930.7453,2882.6783,3834.6114,-7123323.3477,126803117.0
15,3274.8999,3274.8999,3200.0,3230.8,3230.8,515326,0.0,1.0,2019-11-14,2871.3367,2958.1733,92.2737,15.63,76.6437,33.2686,51.3523,52.4147,13.1917,76.5295,80.0,43.3333,1920.0206,2871.3367,3822.6527,-6934555.8278,127064529.0
16,3271.0,3299.0,3200.0,3269.75,3269.75,1853222,0.0,1.0,2019-11-13,2859.505,2947.4368,89.7394,17.0032,72.7362,23.278,33.2523,52.3912,13.265,83.2513,81.6667,45.0,1910.9056,2859.505,3808.1044,-6843050.5706,127579855.0
17,3157.0,3195.0,3110.0,3119.55,3119.55,464906,0.0,1.0,2019-11-11,2848.17,2936.4685,85.5964,17.111,68.4854,19.916,15.2012,51.7061,13.3396,61.6368,83.3333,46.6667,1903.2635,2848.17,3793.0765,-7601186.8434,125726633.0
18,3228.0,3245.45,3143.0,3158.0,3158.0,376182,0.0,1.0,2019-11-08,2838.2,2928.9929,90.6707,26.4631,64.2076,20.0266,21.3806,52.1658,13.4358,72.2289,85.0,48.3333,1893.9148,2838.2,3782.4852,-7240748.4923,126191539.0
19,3249.0,3256.6001,3204.8999,3223.8,3223.8,288996,0.0,1.0,2019-11-07,2826.9167,2918.857,88.5994,31.0075,57.5918,26.0781,23.1662,52.3011,13.5261,84.4789,86.6667,50.0,1885.357,2826.9167,3768.4764,-6974722.3283,126567721.0
20,3239.8501,3257.8501,3191.0,3227.8501,3227.8501,347320,0.0,1.0,2019-11-06,2815.4833,2907.6657,82.5287,32.6888,49.84,40.5491,15.533,52.248,13.6038,86.9328,88.3333,51.6667,1878.0516,2815.4833,3752.9151,-6897024.0527,126856717.0
21,3255.0,3280.0,3202.3,3231.75,3231.75,330794,0.0,1.0,2019-11-05,2804.585,2896.4053,74.5116,32.8439,41.6678,67.4895,39.535,52.3428,13.6829,92.9358,90.0,53.3333,1871.9491,2804.585,3737.2209,-6932613.7692,127204037.0
