,time,summary,title,trend
0,2019-12-24,"['...industry', 'while', 'gathering', 'data', 'on', 'the', 'way', 'people', 'move', 'around', 'cities.', 'Volkswagen,', 'which', 'had', 'previously', 'eschewed', 'mobility...']","['German', 'automakers', 'do', 'U-turn', 'on', 'car-sharing', 'push']",NC
1,2019-12-24,"['...core', 'competency:', 'manufacturing', 'premium', 'cars.', 'Meanwhile,', 'in', 'November,', 'German', 'auto', 'supplier', 'Bosch', 'announced', 'it', 'was', 'shutting...']","['German', 'automakers', 'do', 'U-turn', 'on', 'car-sharing', 'push']",NC
2,2019-12-24,"['...,', 'so', 'this', 'is', 'still', 'very', 'expensive,', 'but', 'on', 'an', 'island', 'of', '400', 'inhabitants,', 'where', 'electricity', 'is', 'generated', 'from', 'imported', 'diesel...']","['Will', 'the', 'lights', 'go', 'out', 'on', 'Sark', 'this', 'Christmas?']",NC
3,2019-12-24,"['It', 'is', 'almost', '15', 'years', 'since', 'David', 'Calhoun', 'was', 'first', 'considered', 'for', 'the', 'role', 'of', 'Boeing’s', 'chief', 'executive', 'officer.', 'He', 'was...']","['Calhoun', 'gives', 'Boeing', 'a', 'fresh', 'face,', 'but', 'not', 'that', 'fresh']",NC
4,2019-12-24,"['...index-tracking', 'investment', 'vehicles', 'that', 'have', 'exploded', 'in', 'popularity', 'over', 'the', 'past', 'decade.', 'BlackRock', 'is', 'the', 'industry’s...']","['Fifty', 'people', 'who', 'shaped', 'the', 'decade']",NC
5,2019-12-24,"['...as', 'Uber,', 'Lyft', 'and', 'China’s', 'Didi', 'Chuxing,', 'the', 'competing', 'pressure', 'to', 'invest', 'heavily', 'in', 'electric', 'vehicles', 'and', 'a...']","['German', 'automakers', 'do', 'U-turn', 'on', 'car-sharing', 'push']",NC
6,2019-12-24,"['...mainstream', 'Conservative', 'thinking', 'and', 'all', 'but', 'inevitable.', 'Barbara', 'Wesel', 'of', 'Deutsche', 'Welle,', 'the', 'German', 'public...']","['Squaring', 'the', 'Brexit', 'circle']",NC
7,2019-12-24,"['...what', 'really', 'turned', 'heads', 'was', 'the', 'small', 'white', 'Smart', 'car', 'driving', 'slowly', 'alongside', '—', 'a', 'publicity', 'parade', 'by', 'German', 'carmaker...']","['German', 'automakers', 'do', 'U-turn', 'on', 'car-sharing', 'push']",NC
8,2019-12-24,"['...power.”', 'Angela', 'Merkel’s', 'dilemma', '“While', 'the', 'German', 'elites', 'may', 'have', 'been', 'happy', 'to', 'do', 'a', 'deal', 'with', 'China', 'or', 'Huawei,...']","['US', 'warns', 'Boris', 'Johnson', 'over', 'Huawei', 'risks', 'to', 'UK', 'citizens’', 'secrets']",NC
9,2019-12-24,"['...economy”', 'ventures', 'in', 'the', 'past', 'decade:', 'asset-light', 'yet', 'also', 'capital-intensive,', 'exploiting', 'legal', 'loopholes', 'to', 'drive', 'rapid...']","['Fifty', 'people', 'who', 'shaped', 'the', 'decade']",NC
10,2019-12-24,"['...that', 'arrives', 'on', 'passenger', 'boats', 'from', 'Guernsey,', 'it’s', 'a', 'bit', 'tricky', 'to', 'reach', 'any', 'kind', 'of', 'economy', 'of', 'scale.', '(The', 'Barclay...']","['Will', 'the', 'lights', 'go', 'out', 'on', 'Sark', 'this', 'Christmas?']",NC
11,2019-12-24,"['...estimates', 'from', 'the', 'likes', 'of', 'McKinsey', 'of', 'a', '$2tn', '“mobility', 'services”', 'economy', 'by', '2030,', 'German', 'car', 'companies', 'have', 'been...']","['German', 'automakers', 'do', 'U-turn', 'on', 'car-sharing', 'push']",NC
12,2019-12-24,"['...down', 'when', 'his', 'seven-year', 'term', 'ends', 'in', 'June,', 'having', 'steered', 'Canada’s', 'economy', 'through', 'a', 'rocky', 'recovery', 'from', 'the', 'Great...']","['Bank', 'of', 'Canada', 'deputy', 'governor', 'leads', 'race', 'for', 'top', 'job']",NC
13,2019-12-24,"['...of', 'the', 'eurozone', '—', 'but', '2019', 'ends', 'with', 'no', 'obvious', 'imbalance', 'to', 'menace', 'the', 'global', 'economy.', 'In', 'certain', 'countries', 'where', 'many...']","['Why', '2019', 'was', 'not', 'as', 'bad', 'as', 'you', 'think']",NC
14,2019-12-24,"['...raise', 'significantly', 'more', 'for', 'the', 'state', 'by', 'making', 'tax', 'fraud', 'and', 'black', 'economy', 'transactions', 'more', 'difficult.', 'Details', 'of', 'the...']","['Italy', 'seeks', 'to', 'end', 'shoppers’', 'reliance', 'on', 'cash']",NC
15,2019-12-24,"['...and', 'wine,', 'by', 'applying', 'a', 'sustainable', 'approach', 'to', 'whisky', 'making.', 'The', 'Scotch', 'industry', 'contributes', '£5.5bn', 'to', 'the', 'UK', 'economy...']","['Distilling', 'a', 'new', 'way', 'to', 'run', 'a', 'whisky', 'business']",NC
16,2019-12-24,"['Outside', 'Westminster', 'tube', 'station,', 'in', 'the', 'encampment', 'of', 'rough', 'sleepers', 'across', 'the', 'street', 'from', 'parliament,', 'Ray', 'Hoblyn', 'is...']","['Can', 'Boris', 'Johnson', 'fulfil', 'pledge', 'to', 'end', 'homelessness', 'in', 'UK?']",NC
