,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,time,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,CCI,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,Chaikin A/D,OBV
0,170.35,172.2,165.2,166.1,166.1,31778016,0.0,1.0,2019-12-05,142.5033,150.7173,4.3048,-1.8231,6.1279,35.7646,52.7235,52.3769,13.5223,72.5347,55.0,60.0,85.4577,142.5033,199.5489,-33697864.9841,4314605822.0
1,158.5,170.35,157.7,169.4,169.4,72082812,0.0,1.0,2019-12-04,141.4933,150.0518,4.06,-2.5236,6.5836,28.1277,39.8922,50.9459,13.6098,69.4573,56.6667,61.6667,84.3099,141.4933,198.6767,-10091420.5276,4346383838.0
2,162.95,162.95,157.4,158.2,158.2,21156471,0.0,1.0,2019-12-03,140.7183,149.7654,4.8952,-2.3194,7.2145,29.0495,14.678,51.5175,13.707,53.9078,58.3333,63.3333,83.2184,140.7183,198.2183,-71347436.0575,4274301026.0
3,160.95,163.0,158.95,161.05,161.05,19441998,0.0,1.0,2019-12-02,139.8867,149.3185,5.4368,-2.3576,7.7944,40.2604,29.813,51.2759,13.8384,60.4696,60.0,65.0,82.2536,139.8867,197.5197,-56290147.4433,4295457497.0
4,164.8,167.75,160.6,161.5,161.5,20010205,0.0,1.0,2019-11-29,139.1308,148.9242,6.2526,-2.1312,8.3838,46.4477,42.6575,51.7642,13.9643,69.6564,61.6667,66.6667,81.4331,139.1308,196.8286,-57010264.1144,4314899495.0
5,165.75,166.3,163.55,164.8,164.8,16609775,0.0,1.0,2019-11-28,138.3258,148.386,6.811,-2.1056,8.9166,43.5491,48.3106,51.8841,14.0841,77.3771,63.3333,68.3333,80.7355,138.3258,195.9162,-42037563.8839,4334909700.0
6,165.3,169.3,165.0,165.9,165.9,29527702,0.0,1.0,2019-11-27,137.5725,147.7974,7.3279,-2.1151,9.443,36.2193,48.3749,51.8322,14.1914,86.3583,65.0,70.0,80.2549,137.5725,194.8901,-40527584.3385,4351519475.0
7,166.65,167.3,162.55,163.4,163.4,25520822,0.0,1.0,2019-11-26,136.6958,147.2041,7.9268,-2.0449,9.9717,25.7268,33.9619,51.9978,14.2933,83.3308,66.6667,71.6667,79.4925,136.6958,193.8992,-23360224.7075,4321991773.0
8,160.7,166.6,159.9,166.1,166.1,26131453,0.0,1.0,2019-11-25,135.8275,146.545,8.4386,-2.0444,10.483,20.688,26.3209,51.3236,14.4053,86.6227,68.3333,73.3333,78.8882,135.8275,192.7668,-6973073.8707,4347512595.0
9,164.9,165.25,160.55,162.35,162.35,21200979,0.0,1.0,2019-11-22,134.9642,146.0651,9.5748,-1.4192,10.9941,21.8354,16.8976,51.8289,14.522,86.1576,70.0,75.0,77.9887,134.9642,191.9396,-29204316.9904,4321381142.0
10,166.95,170.1,163.0,164.15,164.15,21609120,0.0,1.0,2019-11-21,134.0825,145.4266,10.4582,-0.8907,11.3489,25.9805,18.8456,52.075,14.6462,100.1248,71.6667,76.6667,77.3506,134.0825,190.8144,-24242423.1656,4342582121.0
11,167.75,170.2,166.2,167.4,167.4,19504078,0.0,1.0,2019-11-20,133.35,144.697,11.2248,-0.3467,11.5715,28.3807,29.7629,52.1701,14.7611,112.6939,73.3333,78.3333,77.2026,133.35,189.4974,-9633398.1923,4364191241.0
12,170.8,171.75,167.1,167.75,167.75,19599195,0.0,1.0,2019-11-19,132.5542,143.9156,11.9586,0.3004,11.6582,25.2238,29.3331,52.5295,14.8631,122.4933,75.0,80.0,77.0295,132.5542,188.0788,-1831737.7362,4383695319.0
13,172.1,172.1,169.25,170.1,170.1,19053232,0.0,1.0,2019-11-18,131.7275,143.0043,12.4107,0.8276,11.5831,24.0077,26.046,52.6817,14.9626,135.7834,76.6667,81.6667,77.0344,131.7275,186.4206,12288155.9336,4403294514.0
14,169.0,173.4,167.35,168.55,168.55,29614682,0.0,1.0,2019-11-15,130.8575,142.018,12.6749,1.2986,11.3762,24.0277,20.2924,52.3581,15.054,142.1488,78.3333,83.3333,77.1084,130.8575,184.6066,19976245.8817,4384241282.0
15,170.2,170.3,165.5,167.05,167.05,25433481,0.0,1.0,2019-11-14,130.0858,141.1033,13.1433,2.0917,11.0515,27.0097,25.6846,52.4947,15.1469,143.1665,80.0,85.0,77.2272,130.0858,182.9444,37842960.9251,4354626600.0
16,171.5,176.0,169.4,170.6,170.6,33926248,0.0,1.0,2019-11-13,129.3125,140.117,13.4278,2.8992,10.5286,29.631,26.1062,52.6411,15.2529,170.0329,81.6667,86.6667,77.4763,129.3125,181.1487,46850630.5868,4380060081.0
17,169.2,172.95,169.05,172.0,172.0,22192924,0.0,1.0,2019-11-11,128.5292,139.0532,13.4633,3.6595,9.8038,35.3086,29.2382,52.4103,15.3434,180.0519,83.3333,88.3333,77.8593,128.5292,179.199,68439948.9795,4413986329.0
18,170.75,178.9,167.8,169.05,169.05,39102947,0.0,1.0,2019-11-08,127.6758,138.0312,13.5469,4.658,8.8889,44.1498,33.5486,52.5801,15.4466,196.4338,85.0,90.0,78.0609,127.6758,177.2907,57058944.8036,4391793405.0
19,174.7,174.7,167.6,171.5,171.5,38625387,0.0,1.0,2019-11-07,126.8733,136.9221,13.2988,5.5743,7.7244,56.6177,43.139,53.0105,15.5514,209.3964,86.6667,91.6667,78.5299,126.8733,175.2168,87354914.6178,4430896352.0
20,172.0,176.35,170.5,174.5,174.5,28923778,0.0,1.0,2019-11-06,126.0125,135.6415,12.3865,6.0556,6.3309,72.2567,55.762,52.7505,15.673,240.7982,88.3333,93.3333,79.2942,126.0125,172.7308,83546789.3647,4469521739.0
21,173.25,175.75,169.95,172.0,172.0,36268596,0.0,1.0,2019-11-05,125.2792,134.409,11.3168,6.4998,4.817,86.3603,70.9521,52.8837,15.7845,258.1274,90.0,95.0,80.1158,125.2792,170.4425,72916723.4883,4440597961.0
22,171.6,178.45,170.85,172.2,172.2,40641411,0.0,1.0,2019-11-04,124.5333,133.0924,9.6596,6.4676,3.192,95.4921,90.0559,52.7288,15.8999,290.0634,91.6667,96.6667,81.1193,124.5333,167.9474,83547149.7819,4476866557.0
23,175.2,178.0,172.4,175.05,175.05,40613555,0.0,1.0,2019-11-01,123.9317,131.787,7.5719,5.9968,1.5751,87.2653,98.073,53.1034,16.0136,325.445,93.3333,98.3333,82.1745,123.9317,165.6889,109750243.9267,4517507968.0
24,169.8,179.65,168.95,177.7,177.7,81392641,0.0,1.0,2019-10-31,123.2367,130.3154,4.4306,4.3547,0.0759,66.286,98.3472,52.6068,16.1229,356.9777,95.0,100.0,83.5806,123.2367,162.8928,111925880.7273,4558121523.0
25,175.0,175.65,166.55,171.9,171.9,90759545,0.0,1.0,2019-10-30,122.7067,128.9769,0.9065,1.9193,-1.0128,39.1457,65.3757,53.1397,16.2341,359.0894,96.6667,100.0,84.74,122.7067,160.6734,60199679.0305,4476728882.0
26,151.9,175.5,151.2,172.45,172.45,184435614,0.0,1.0,2019-10-29,122.2383,127.4168,-4.1342,-2.6416,-1.4926,27.5579,35.135,50.97,16.3602,344.6662,98.3333,100.0,86.2202,122.2383,158.2565,44242030.8125,4567488427.0
27,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,2019-10-27,122.0083,126.5869,-8.1558,-7.3236,-0.8322,29.5882,16.9264,30.0188,16.489,-987.4924,100.0,0.0,86.5793,122.0083,157.4373,-93894891.2896,4383052813.0
28,132.0,133.0,125.7,126.85,126.85,42868958,0.0,1.0,2019-10-25,124.53,130.878,2.296,1.2972,0.9987,40.1367,30.6124,47.2845,16.0351,42.8889,45.0,0.0,107.3667,124.53,141.6933,-93894891.2896,4383052813.0
29,133.0,135.15,130.5,133.5,133.5,41951668,0.0,1.0,2019-10-24,124.9358,130.8399,2.1628,1.4884,0.6744,50.6839,41.2258,47.4879,16.2189,79.1361,46.6667,0.0,106.0229,124.9358,143.8488,-64532597.4838,4425921771.0
30,130.45,133.8,127.25,132.65,132.65,50293574,0.0,1.0,2019-10-23,125.3425,130.7667,1.8596,1.5573,0.3023,61.1315,48.572,46.9151,16.4473,54.5665,48.3333,0.0,104.7764,125.3425,145.9086,-76712183.8468,4383970103.0
31,133.35,135.6,129.8,131.75,131.75,53532482,0.0,1.0,2019-10-22,125.7592,130.7775,1.7052,1.7922,-0.087,70.6151,62.2538,47.4945,16.6671,56.915,50.0,0.0,103.8283,125.7592,147.69,-109345288.7623,4333676529.0
32,139.0,141.8,135.6,136.85,136.85,64884113,0.0,1.0,2019-10-18,126.2275,130.6903,1.1881,1.7231,-0.5351,75.8848,72.5686,48.6453,16.9128,94.7391,51.6667,0.0,102.5386,126.2275,149.9164,-91808712.0412,4387209011.0
33,127.1,144.35,125.1,139.5,139.5,67933615,0.0,1.0,2019-10-17,126.6983,130.4086,-0.0646,0.9013,-0.9659,77.7309,77.0229,45.9319,17.1844,73.4225,53.3333,0.0,100.9769,126.6983,152.4198,-53087560.491,4452093124.0
