,time,summary,title,trend
0,2019-12-24,"['...services”', 'such', 'as', 'vehicle-sharing', 'schemes,', 'ride-hailing', 'apps', 'and', 'technologies', 'including', 'self-driving', 'taxis.', 'They', 'were...']","['German', 'automakers', 'do', 'U-turn', 'on', 'car-sharing', 'push']",NC
1,2019-12-24,"['...was', 'transported', 'across', 'Europe', 'and', 'at', 'Fort', 'William', 'transferred', 'on', 'to', 'a', 'smaller', 'lorry.', 'A', 'vehicle', 'escort', 'was', 'needed', 'to...']","['Distilling', 'a', 'new', 'way', 'to', 'run', 'a', 'whisky', 'business']",NC
2,2019-12-24,"['...Car2Go', 'profitable.', 'Soon', 'after,', 'it', 'announced', 'it', 'would', 'withdraw', 'from', 'North', 'America', 'entirely.', 'The', 'business', 'was', 'part', 'of', 'a...']","['German', 'automakers', 'do', 'U-turn', 'on', 'car-sharing', 'push']",NC
3,2019-12-24,"['...data', 'that', 'has', 'been', 'hard', 'to', 'explain”.', 'But', 'it', 'can', 'be', 'extended', 'by', 'reimagining', 'work', 'as', 'we', 'age.', 'Lessons', 'for', 'America', 'and', 'global...']","['Letter:', 'Reimagining', 'retirement', 'for', 'economic', 'longevity']",NC
4,2019-12-24,"['...,', 'so', 'this', 'is', 'still', 'very', 'expensive,', 'but', 'on', 'an', 'island', 'of', '400', 'inhabitants,', 'where', 'electricity', 'is', 'generated', 'from', 'imported', 'diesel...']","['Will', 'the', 'lights', 'go', 'out', 'on', 'Sark', 'this', 'Christmas?']",NC
5,2019-12-24,"['...poor', 'people', 'live,', 'output', 'grew', 'fast.', 'It', 'rose', 'by', '7.8', 'per', 'cent', 'in', 'Bangladesh,', '6.1', 'per', 'cent', 'in', 'India', 'and', '7.4', 'per', 'cent', 'in...']","['Why', '2019', 'was', 'not', 'as', 'bad', 'as', 'you', 'think']",NC
6,2019-12-23,"['...,', 'alongside', 'gaming', 'technology', 'company', 'SBTech.', 'The', 'combination', 'with', 'Mr', 'Sagansky’s', 'Spac,', 'a', 'publicly', 'traded', 'vehicle', 'through...']","['DraftKings', 'to', 'go', 'public', 'with', '$3.3bn', 'valuation', 'through', 'merger']",UP
7,2019-12-23,"['...stadium”', 'the', 'most', 'prominent', 'among', 'them).', 'It', 'has', 'also', 'attached', 'a', 'broader', 'range', 'of', 'spending', 'projects', '(', 'hydrogen', 'vehicle...']","['Japan', 'is', 'wondering', 'if', 'the', 'Olympics', 'are', 'really', 'worth', 'it']",UP
8,2019-12-23,"['...decided', 'to', 'base', 'itself', 'there.', 'The', 'company', 'is', 'Mr', 'Catlin’s', 'comeback', 'vehicle', 'after', 'his', 'first', 'business', 'was', 'sold', 'to', 'XL', 'for...']","['Bermuda’s', 'status', 'as', 'safe', 'harbour', 'for', 'insurers', 'under', 'threat']",UP
9,2019-12-23,"['...Prize-winning', 'writer', 'who', 'broke', 'the', 'silence', 'over', 'black', 'America.', '“If', 'there’s', 'a', 'book', 'that', 'you', 'want', 'to', 'read,', 'but', 'it', 'hasn’t...']","['FirstFT:', '2019', 'in', 'review']",UP
10,2019-12-23,"['...project,', 'Death', 'Stranding.', 'It’s', 'a', 'strange', 'cocktail:', 'the', 'player', 'is', 'a', 'courier', 'traipsing', 'through', 'post-apocalyptic', 'America', 'with...']","['The', 'best', 'video', 'games', 'of', '2019']",UP
11,2019-12-23,"['...,', 'like', 'a', 'skilful', 'dog,', 'all', 'over', 'mid-19th-century', 'America.', 'During', 'one', 'eye-ravishing', 'moment,', 'I', 'whispered', 'to', 'a', 'neighbour...']","['Greta', 'Gerwig’s', 'Little', 'Women', 'is', 'vibrant,', 'sardonic', 'and', 'out\xadrageously', 'gorgeous']",UP
12,2019-12-23,"['...in', 'different', 'countries.', 'In', 'two', 'regions', '—', 'the', 'Middle', 'East', 'and', 'Latin', 'America', '—', 'the', 'protests', 'are', 'sufficiently', 'widespread', 'to...']","['2019:', 'the', 'year', 'of', 'street', 'protest']",UP
13,2019-12-23,"['The', 'renewable', 'energy', 'market', 'in', 'Latin', 'America', 'is', 'witnessing', 'an', 'unprecedented', 'surge', 'of', 'greenfield', 'foreign', 'investment...']","['Latam', 'renewable', 'energy', 'investment', 'hits', 'record', 'high']",UP
14,2019-12-23,"['The', 'past', 'year', 'will', 'be', 'remembered', 'as', 'a', 'moment', 'of', 'reckoning', 'for', 'central', 'banks.', 'The', 'relentless', 'wave', 'of', 'cheap', 'money', 'provided...']","['The', 'big', 'market', 'moments', 'of', '2019']",UP
15,2019-12-23,"['...-American', 'rivalry.', 'Many', 'developing', 'countries', 'in', 'Asia,', 'Africa', 'and', 'even', 'Latin', 'America', 'have', 'benefited', 'from', 'an...']","['China’s', '$1.3tn', 'global', 'spending', 'spree', 'will', 'collapse,', 'says', 'top', 'US', 'official']",UP
16,2019-12-23,"['...developing', 'systems', 'to', 'clean', 'the', 'emissions', 'of', 'petrol', 'and', 'diesel', 'passenger', 'cars”.', 'BMW', 'has', 'vowed', 'to', 'strongly...']","['BMW', 'faces', 'US', 'investigation', 'into', 'sales', 'figures']",UP
17,2019-12-23,"['...developing', 'systems', 'to', 'clean', 'the', 'emissions', 'of', 'petrol', 'and', 'diesel', 'passenger', 'cars”.', 'BMW', 'has', 'vowed', 'to', 'strongly...']","['BMW', 'faces', 'US', 'investigation', 'into', 'sales', 'figures']",UP
18,2019-12-23,"['...money:', 'Wall', 'Street', 'giant', 'Goldman', 'Sachs', 'has', 'made', 'a', 'bet', 'on', 'the', 'market', 'for', 'small', 'loans', 'in', 'India,', 'leading', 'a', '$15m', 'funding...']","[""Japan's"", 'quest', 'for', 'cashless', 'payments']",UP
